n,register_e_symbol,omega_lower_case,omega_upper_case,liouville_function,prime_counter,tape_cp_n_start,register_psf_out,prime_square_free_counter,tape_psf_n_start,mobius_function_mu,mertens_function,semiprime,semiprime_counter
1,ONE,0,0,1,0,L,F,1,C,1,1,false,0
2,P,1,1,-1,1,L,F,2,C,-1,0,false,0
3,P,1,1,-1,2,M,F,3,S,-1,-1,false,0
4,M,1,2,1,2,L,S,3,C,0,-1,true,1
5,P,1,1,-1,3,M,F,4,C,-1,-2,false,1
6,M,2,2,1,3,L,F,5,C,1,-1,true,2
7,P,1,1,-1,4,M,F,6,S,-1,-2,false,2
8,M,1,3,-1,4,M,S,6,S,0,-2,false,2
9,M,1,2,1,4,M,S,6,C,0,-2,true,3
10,M,2,2,1,4,L,F,7,C,1,-1,true,4
11,P,1,1,-1,5,M,F,8,S,-1,-2,false,4
12,M,2,3,-1,5,L,S,8,C,0,-2,false,4
13,P,1,1,-1,6,M,F,9,C,-1,-3,false,4
14,M,2,2,1,6,M,F,10,C,1,-2,true,5
15,M,2,2,1,6,M,F,11,S,1,-1,true,6
16,M,1,4,1,6,L,S,11,C,0,-1,false,6
17,P,1,1,-1,7,M,F,12,S,-1,-2,false,6
18,M,2,3,-1,7,L,S,12,C,0,-2,false,6
19,P,1,1,-1,8,M,F,13,S,-1,-3,false,6
20,M,2,3,-1,8,M,S,13,C,0,-3,false,6
21,M,2,2,1,8,M,F,14,C,1,-2,true,7
22,M,2,2,1,8,L,F,15,C,1,-1,true,8
23,P,1,1,-1,9,M,F,16,S,-1,-2,false,8
24,M,2,4,1,9,M,S,16,S,0,-2,false,8
25,M,1,2,1,9,M,S,16,C,0,-2,true,9
26,M,2,2,1,9,M,F,17,S,1,-1,true,10
27,M,1,3,-1,9,M,S,17,S,0,-1,false,10
28,M,2,3,-1,9,L,S,17,C,0,-1,false,10
29,P,1,1,-1,10,M,F,18,C,-1,-2,false,10
30,M,3,3,-1,10,L,F,19,C,-1,-3,false,10
31,P,1,1,-1,11,M,F,20,S,-1,-4,false,10
32,M,1,5,-1,11,M,S,20,C,0,-4,false,10
33,M,2,2,1,11,M,F,21,C,1,-3,true,11
34,M,2,2,1,11,M,F,22,C,1,-2,true,12
35,M,2,2,1,11,M,F,23,S,1,-1,true,13
36,M,2,4,1,11,L,S,23,C,0,-1,false,13
37,P,1,1,-1,12,M,F,24,C,-1,-2,false,13
38,M,2,2,1,12,M,F,25,C,1,-1,true,14
39,M,2,2,1,12,M,F,26,S,1,0,true,15
40,M,2,4,1,12,L,S,26,C,0,0,false,15
41,P,1,1,-1,13,M,F,27,C,-1,-1,false,15
42,M,3,3,-1,13,L,F,28,C,-1,-2,false,15
43,P,1,1,-1,14,M,F,29,S,-1,-3,false,15
44,M,2,3,-1,14,M,S,29,S,0,-3,false,15
45,M,2,3,-1,14,M,S,29,C,0,-3,false,15
46,M,2,2,1,14,L,F,30,C,1,-2,true,16
47,P,1,1,-1,15,M,F,31,S,-1,-3,false,16
48,M,2,5,-1,15,M,S,31,S,0,-3,false,16
49,M,1,2,1,15,M,S,31,S,0,-3,true,17
50,M,2,3,-1,15,M,S,31,C,0,-3,false,17
51,M,2,2,1,15,M,F,32,S,1,-2,true,18
52,M,2,3,-1,15,L,S,32,C,0,-2,false,18
53,P,1,1,-1,16,M,F,33,S,-1,-3,false,18
54,M,2,4,1,16,M,S,33,C,0,-3,false,18
55,M,2,2,1,16,M,F,34,S,1,-2,true,19
56,M,2,4,1,16,M,S,34,C,0,-2,false,19
57,M,2,2,1,16,M,F,35,C,1,-1,true,20
58,M,2,2,1,16,L,F,36,C,1,0,true,21
59,P,1,1,-1,17,M,F,37,S,-1,-1,false,21
60,M,3,4,1,17,L,S,37,C,0,-1,false,21
61,P,1,1,-1,18,M,F,38,C,-1,-2,false,21
62,M,2,2,1,18,M,F,39,S,1,-1,true,22
63,M,2,3,-1,18,M,S,39,S,0,-1,false,22
64,M,1,6,1,18,M,S,39,C,0,-1,false,22
65,M,2,2,1,18,M,F,40,C,1,0,true,23
66,M,3,3,-1,18,L,F,41,C,-1,-1,false,23
67,P,1,1,-1,19,M,F,42,S,-1,-2,false,23
68,M,2,3,-1,19,M,S,42,C,0,-2,false,23
69,M,2,2,1,19,M,F,43,C,1,-1,true,24
70,M,3,3,-1,19,L,F,44,C,-1,-2,false,24
71,P,1,1,-1,20,M,F,45,S,-1,-3,false,24
72,M,2,5,-1,20,L,S,45,C,0,-3,false,24
73,P,1,1,-1,21,M,F,46,C,-1,-4,false,24
74,M,2,2,1,21,M,F,47,S,1,-3,true,25
75,M,2,3,-1,21,M,S,47,S,0,-3,false,25
76,M,2,3,-1,21,M,S,47,C,0,-3,false,25
77,M,2,2,1,21,M,F,48,C,1,-2,true,26
78,M,3,3,-1,21,L,F,49,C,-1,-3,false,26
79,P,1,1,-1,22,M,F,50,S,-1,-4,false,26
80,M,2,5,-1,22,M,S,50,S,0,-4,false,26
81,M,1,4,1,22,M,S,50,C,0,-4,false,26
82,M,2,2,1,22,L,F,51,C,1,-3,true,27
83,P,1,1,-1,23,M,F,52,S,-1,-4,false,27
84,M,3,4,1,23,M,S,52,C,0,-4,false,27
85,M,2,2,1,23,M,F,53,C,1,-3,true,28
86,M,2,2,1,23,M,F,54,C,1,-2,true,29
87,M,2,2,1,23,M,F,55,S,1,-1,true,30
88,M,2,4,1,23,L,S,55,C,0,-1,false,30
89,P,1,1,-1,24,M,F,56,S,-1,-2,false,30
90,M,3,4,1,24,M,S,56,C,0,-2,false,30
91,M,2,2,1,24,M,F,57,S,1,-1,true,31
92,M,2,3,-1,24,M,S,57,C,0,-1,false,31
93,M,2,2,1,24,M,F,58,C,1,0,true,32
94,M,2,2,1,24,M,F,59,C,1,1,true,33
95,M,2,2,1,24,M,F,60,S,1,2,true,34
96,M,2,6,1,24,L,S,60,C,0,2,false,34
97,P,1,1,-1,25,M,F,61,S,-1,1,false,34
98,M,2,3,-1,25,M,S,61,S,0,1,false,34
99,M,2,3,-1,25,M,S,61,S,0,1,false,34
100,M,2,4,1,25,L,S,61,C,0,1,false,34
101,P,1,1,-1,26,M,F,62,C,-1,0,false,34
102,M,3,3,-1,26,L,F,63,C,-1,-1,false,34
103,P,1,1,-1,27,M,F,64,S,-1,-2,false,34
104,M,2,4,1,27,M,S,64,C,0,-2,false,34
105,M,3,3,-1,27,M,F,65,C,-1,-3,false,34
106,M,2,2,1,27,L,F,66,C,1,-2,true,35
107,P,1,1,-1,28,M,F,67,S,-1,-3,false,35
108,M,2,5,-1,28,L,S,67,C,0,-3,false,35
109,P,1,1,-1,29,M,F,68,C,-1,-4,false,35
110,M,3,3,-1,29,M,F,69,C,-1,-5,false,35
111,M,2,2,1,29,M,F,70,S,1,-4,true,36
112,M,2,5,-1,29,L,S,70,C,0,-4,false,36
113,P,1,1,-1,30,M,F,71,C,-1,-5,false,36
114,M,3,3,-1,30,M,F,72,C,-1,-6,false,36
115,M,2,2,1,30,M,F,73,S,1,-5,true,37
116,M,2,3,-1,30,M,S,73,S,0,-5,false,37
117,M,2,3,-1,30,M,S,73,C,0,-5,false,37
118,M,2,2,1,30,M,F,74,C,1,-4,true,38
119,M,2,2,1,30,M,F,75,S,1,-3,true,39
120,M,3,5,-1,30,M,S,75,S,0,-3,false,39
121,M,1,2,1,30,M,S,75,C,0,-3,true,40
122,M,2,2,1,30,M,F,76,C,1,-2,true,41
123,M,2,2,1,30,M,F,77,S,1,-1,true,42
124,M,2,3,-1,30,M,S,77,S,0,-1,false,42
125,M,1,3,-1,30,M,S,77,S,0,-1,false,42
126,M,3,4,1,30,L,S,77,C,0,-1,false,42
127,P,1,1,-1,31,M,F,78,S,-1,-2,false,42
128,M,1,7,-1,31,M,S,78,C,0,-2,false,42
129,M,2,2,1,31,M,F,79,C,1,-1,true,43
130,M,3,3,-1,31,L,F,80,C,-1,-2,false,43
131,P,1,1,-1,32,M,F,81,S,-1,-3,false,43
132,M,3,4,1,32,M,S,81,C,0,-3,false,43
133,M,2,2,1,32,M,F,82,C,1,-2,true,44
134,M,2,2,1,32,M,F,83,S,1,-1,true,45
135,M,2,4,1,32,M,S,83,S,0,-1,false,45
136,M,2,4,1,32,L,S,83,C,0,-1,false,45
137,P,1,1,-1,33,M,F,84,C,-1,-2,false,45
138,M,3,3,-1,33,L,F,85,C,-1,-3,false,45
139,P,1,1,-1,34,M,F,86,S,-1,-4,false,45
140,M,3,4,1,34,M,S,86,C,0,-4,false,45
141,M,2,2,1,34,M,F,87,C,1,-3,true,46
142,M,2,2,1,34,M,F,88,C,1,-2,true,47
143,M,2,2,1,34,M,F,89,S,1,-1,true,48
144,M,2,6,1,34,M,S,89,C,0,-1,false,48
145,M,2,2,1,34,M,F,90,C,1,0,true,49
146,M,2,2,1,34,M,F,91,S,1,1,true,50
147,M,2,3,-1,34,M,S,91,S,0,1,false,50
148,M,2,3,-1,34,L,S,91,C,0,1,false,50
149,P,1,1,-1,35,M,F,92,S,-1,0,false,50
150,M,3,4,1,35,L,S,92,C,0,0,false,50
151,P,1,1,-1,36,M,F,93,S,-1,-1,false,50
152,M,2,4,1,36,M,S,93,S,0,-1,false,50
153,M,2,3,-1,36,M,S,93,C,0,-1,false,50
154,M,3,3,-1,36,M,F,94,C,-1,-2,false,50
155,M,2,2,1,36,M,F,95,S,1,-1,true,51
156,M,3,4,1,36,L,S,95,C,0,-1,false,51
157,P,1,1,-1,37,M,F,96,C,-1,-2,false,51
158,M,2,2,1,37,M,F,97,C,1,-1,true,52
159,M,2,2,1,37,M,F,98,S,1,0,true,53
160,M,2,6,1,37,M,S,98,C,0,0,false,53
161,M,2,2,1,37,M,F,99,S,1,1,true,54
162,M,2,5,-1,37,L,S,99,C,0,1,false,54
163,P,1,1,-1,38,M,F,100,S,-1,0,false,54
164,M,2,3,-1,38,M,S,100,C,0,0,false,54
165,M,3,3,-1,38,M,F,101,C,-1,-1,false,54
166,M,2,2,1,38,L,F,102,C,1,0,true,55
167,P,1,1,-1,39,M,F,103,S,-1,-1,false,55
168,M,3,5,-1,39,M,S,103,S,0,-1,false,55
169,M,1,2,1,39,M,S,103,C,0,-1,true,56
170,M,3,3,-1,39,M,F,104,S,-1,-2,false,56
171,M,2,3,-1,39,M,S,104,S,0,-2,false,56
172,M,2,3,-1,39,L,S,104,C,0,-2,false,56
173,P,1,1,-1,40,M,F,105,C,-1,-3,false,56
174,M,3,3,-1,40,M,F,106,S,-1,-4,false,56
175,M,2,3,-1,40,M,S,106,S,0,-4,false,56
176,M,2,5,-1,40,M,S,106,C,0,-4,false,56
177,M,2,2,1,40,M,F,107,C,1,-3,true,57
178,M,2,2,1,40,L,F,108,C,1,-2,true,58
179,P,1,1,-1,41,M,F,109,S,-1,-3,false,58
180,M,3,5,-1,41,L,S,109,C,0,-3,false,58
181,P,1,1,-1,42,M,F,110,C,-1,-4,false,58
182,M,3,3,-1,42,M,F,111,C,-1,-5,false,58
183,M,2,2,1,42,M,F,112,S,1,-4,true,59
184,M,2,4,1,42,M,S,112,C,0,-4,false,59
185,M,2,2,1,42,M,F,113,C,1,-3,true,60
186,M,3,3,-1,42,M,F,114,C,-1,-4,false,60
187,M,2,2,1,42,M,F,115,S,1,-3,true,61
188,M,2,3,-1,42,M,S,115,S,0,-3,false,61
189,M,2,4,1,42,M,S,115,C,0,-3,false,61
190,M,3,3,-1,42,L,F,116,C,-1,-4,false,61
191,P,1,1,-1,43,M,F,117,S,-1,-5,false,61
192,M,2,7,-1,43,L,S,117,C,0,-5,false,61
193,P,1,1,-1,44,M,F,118,C,-1,-6,false,61
194,M,2,2,1,44,M,F,119,C,1,-5,true,62
195,M,3,3,-1,44,M,F,120,S,-1,-6,false,62
196,M,2,4,1,44,L,S,120,C,0,-6,false,62
197,P,1,1,-1,45,M,F,121,S,-1,-7,false,62
198,M,3,4,1,45,L,S,121,C,0,-7,false,62
199,P,1,1,-1,46,M,F,122,S,-1,-8,false,62
200,M,2,5,-1,46,M,S,122,C,0,-8,false,62
201,M,2,2,1,46,M,F,123,C,1,-7,true,63
202,M,2,2,1,46,M,F,124,C,1,-6,true,64
203,M,2,2,1,46,M,F,125,S,1,-5,true,65
204,M,3,4,1,46,M,S,125,C,0,-5,false,65
205,M,2,2,1,46,M,F,126,C,1,-4,true,66
206,M,2,2,1,46,M,F,127,S,1,-3,true,67
207,M,2,3,-1,46,M,S,127,S,0,-3,false,67
208,M,2,5,-1,46,M,S,127,C,0,-3,false,67
209,M,2,2,1,46,M,F,128,C,1,-2,true,68
210,M,4,4,1,46,L,F,129,C,1,-1,false,68
211,P,1,1,-1,47,M,F,130,S,-1,-2,false,68
212,M,2,3,-1,47,M,S,130,C,0,-2,false,68
213,M,2,2,1,47,M,F,131,C,1,-1,true,69
214,M,2,2,1,47,M,F,132,C,1,0,true,70
215,M,2,2,1,47,M,F,133,S,1,1,true,71
216,M,2,6,1,47,M,S,133,C,0,1,false,71
217,M,2,2,1,47,M,F,134,C,1,2,true,72
218,M,2,2,1,47,M,F,135,C,1,3,true,73
219,M,2,2,1,47,M,F,136,S,1,4,true,74
220,M,3,4,1,47,M,S,136,C,0,4,false,74
221,M,2,2,1,47,M,F,137,C,1,5,true,75
222,M,3,3,-1,47,L,F,138,C,-1,4,false,75
223,P,1,1,-1,48,M,F,139,S,-1,3,false,75
224,M,2,6,1,48,M,S,139,S,0,3,false,75
225,M,2,4,1,48,M,S,139,C,0,3,false,75
226,M,2,2,1,48,L,F,140,C,1,4,true,76
227,P,1,1,-1,49,M,F,141,S,-1,3,false,76
228,M,3,4,1,49,L,S,141,C,0,3,false,76
229,P,1,1,-1,50,M,F,142,C,-1,2,false,76
230,M,3,3,-1,50,M,F,143,C,-1,1,false,76
231,M,3,3,-1,50,M,F,144,S,-1,0,false,76
232,M,2,4,1,50,L,S,144,C,0,0,false,76
233,P,1,1,-1,51,M,F,145,S,-1,-1,false,76
234,M,3,4,1,51,M,S,145,C,0,-1,false,76
235,M,2,2,1,51,M,F,146,S,1,0,true,77
236,M,2,3,-1,51,M,S,146,C,0,0,false,77
237,M,2,2,1,51,M,F,147,C,1,1,true,78
238,M,3,3,-1,51,L,F,148,C,-1,0,false,78
239,P,1,1,-1,52,M,F,149,S,-1,-1,false,78
240,M,3,6,1,52,L,S,149,C,0,-1,false,78
241,P,1,1,-1,53,M,F,150,S,-1,-2,false,78
242,M,2,3,-1,53,M,S,150,S,0,-2,false,78
243,M,1,5,-1,53,M,S,150,S,0,-2,false,78
244,M,2,3,-1,53,M,S,150,S,0,-2,false,78
245,M,2,3,-1,53,M,S,150,C,0,-2,false,78
246,M,3,3,-1,53,M,F,151,C,-1,-3,false,78
247,M,2,2,1,53,M,F,152,S,1,-2,true,79
248,M,2,4,1,53,M,S,152,C,0,-2,false,79
249,M,2,2,1,53,M,F,153,S,1,-1,true,80
250,M,2,4,1,53,L,S,153,C,0,-1,false,80
251,P,1,1,-1,54,M,F,154,S,-1,-2,false,80
252,M,3,5,-1,54,M,S,154,C,0,-2,false,80
253,M,2,2,1,54,M,F,155,C,1,-1,true,81
254,M,2,2,1,54,M,F,156,C,1,0,true,82
255,M,3,3,-1,54,M,F,157,S,-1,-1,false,82
256,M,1,8,1,54,L,S,157,C,0,-1,false,82
257,P,1,1,-1,55,M,F,158,C,-1,-2,false,82
258,M,3,3,-1,55,M,F,159,C,-1,-3,false,82
259,M,2,2,1,55,M,F,160,S,1,-2,true,83
260,M,3,4,1,55,M,S,160,S,0,-2,false,83
261,M,2,3,-1,55,M,S,160,C,0,-2,false,83
262,M,2,2,1,55,L,F,161,C,1,-1,true,84
263,P,1,1,-1,56,M,F,162,S,-1,-2,false,84
264,M,3,5,-1,56,M,S,162,C,0,-2,false,84
265,M,2,2,1,56,M,F,163,C,1,-1,true,85
266,M,3,3,-1,56,M,F,164,C,-1,-2,false,85
267,M,2,2,1,56,M,F,165,S,1,-1,true,86
268,M,2,3,-1,56,L,S,165,C,0,-1,false,86
269,P,1,1,-1,57,M,F,166,S,-1,-2,false,86
270,M,3,5,-1,57,L,S,166,C,0,-2,false,86
271,P,1,1,-1,58,M,F,167,S,-1,-3,false,86
272,M,2,5,-1,58,M,S,167,C,0,-3,false,86
273,M,3,3,-1,58,M,F,168,C,-1,-4,false,86
274,M,2,2,1,58,M,F,169,S,1,-3,true,87
275,M,2,3,-1,58,M,S,169,S,0,-3,false,87
276,M,3,4,1,58,L,S,169,C,0,-3,false,87
277,P,1,1,-1,59,M,F,170,C,-1,-4,false,87
278,M,2,2,1,59,M,F,171,S,1,-3,true,88
279,M,2,3,-1,59,M,S,171,S,0,-3,false,88
280,M,3,5,-1,59,L,S,171,C,0,-3,false,88
281,P,1,1,-1,60,M,F,172,C,-1,-4,false,88
282,M,3,3,-1,60,L,F,173,C,-1,-5,false,88
283,P,1,1,-1,61,M,F,174,S,-1,-6,false,88
284,M,2,3,-1,61,M,S,174,C,0,-6,false,88
285,M,3,3,-1,61,M,F,175,C,-1,-7,false,88
286,M,3,3,-1,61,M,F,176,C,-1,-8,false,88
287,M,2,2,1,61,M,F,177,S,1,-7,true,89
288,M,2,7,-1,61,M,S,177,S,0,-7,false,89
289,M,1,2,1,61,M,S,177,C,0,-7,true,90
290,M,3,3,-1,61,M,F,178,C,-1,-8,false,90
291,M,2,2,1,61,M,F,179,S,1,-7,true,91
292,M,2,3,-1,61,L,S,179,C,0,-7,false,91
293,P,1,1,-1,62,M,F,180,S,-1,-8,false,91
294,M,3,4,1,62,M,S,180,C,0,-8,false,91
295,M,2,2,1,62,M,F,181,S,1,-7,true,92
296,M,2,4,1,62,M,S,181,S,0,-7,false,92
297,M,2,4,1,62,M,S,181,C,0,-7,false,92
298,M,2,2,1,62,M,F,182,C,1,-6,true,93
299,M,2,2,1,62,M,F,183,S,1,-5,true,94
300,M,3,5,-1,62,M,S,183,C,0,-5,false,94
301,M,2,2,1,62,M,F,184,C,1,-4,true,95
302,M,2,2,1,62,M,F,185,C,1,-3,true,96
303,M,2,2,1,62,M,F,186,S,1,-2,true,97
304,M,2,5,-1,62,M,S,186,C,0,-2,false,97
305,M,2,2,1,62,M,F,187,S,1,-1,true,98
306,M,3,4,1,62,L,S,187,C,0,-1,false,98
307,P,1,1,-1,63,M,F,188,S,-1,-2,false,98
308,M,3,4,1,63,M,S,188,C,0,-2,false,98
309,M,2,2,1,63,M,F,189,C,1,-1,true,99
310,M,3,3,-1,63,L,F,190,C,-1,-2,false,99
311,P,1,1,-1,64,M,F,191,S,-1,-3,false,99
312,M,3,5,-1,64,L,S,191,C,0,-3,false,99
313,P,1,1,-1,65,M,F,192,C,-1,-4,false,99
314,M,2,2,1,65,M,F,193,S,1,-3,true,100
315,M,3,4,1,65,M,S,193,S,0,-3,false,100
316,M,2,3,-1,65,L,S,193,C,0,-3,false,100
317,P,1,1,-1,66,M,F,194,C,-1,-4,false,100
318,M,3,3,-1,66,M,F,195,C,-1,-5,false,100
319,M,2,2,1,66,M,F,196,S,1,-4,true,101
320,M,2,7,-1,66,M,S,196,C,0,-4,false,101
321,M,2,2,1,66,M,F,197,C,1,-3,true,102
322,M,3,3,-1,66,M,F,198,C,-1,-4,false,102
323,M,2,2,1,66,M,F,199,S,1,-3,true,103
324,M,2,6,1,66,M,S,199,S,0,-3,false,103
325,M,2,3,-1,66,M,S,199,C,0,-3,false,103
326,M,2,2,1,66,M,F,200,C,1,-2,true,104
327,M,2,2,1,66,M,F,201,S,1,-1,true,105
328,M,2,4,1,66,M,S,201,C,0,-1,false,105
329,M,2,2,1,66,M,F,202,C,1,0,true,106
330,M,4,4,1,66,L,F,203,C,1,1,false,106
331,P,1,1,-1,67,M,F,204,S,-1,0,false,106
332,M,2,3,-1,67,M,S,204,S,0,0,false,106
333,M,2,3,-1,67,M,S,204,C,0,0,false,106
334,M,2,2,1,67,M,F,205,C,1,1,true,107
335,M,2,2,1,67,M,F,206,S,1,2,true,108
336,M,3,6,1,67,L,S,206,C,0,2,false,108
337,P,1,1,-1,68,M,F,207,S,-1,1,false,108
338,M,2,3,-1,68,M,S,207,C,0,1,false,108
339,M,2,2,1,68,M,F,208,S,1,2,true,109
340,M,3,4,1,68,M,S,208,C,0,2,false,109
341,M,2,2,1,68,M,F,209,S,1,3,true,110
342,M,3,4,1,68,M,S,209,S,0,3,false,110
343,M,1,3,-1,68,M,S,209,S,0,3,false,110
344,M,2,4,1,68,M,S,209,C,0,3,false,110
345,M,3,3,-1,68,M,F,210,C,-1,2,false,110
346,M,2,2,1,68,L,F,211,C,1,3,true,111
347,P,1,1,-1,69,M,F,212,S,-1,2,false,111
348,M,3,4,1,69,L,S,212,C,0,2,false,111
349,P,1,1,-1,70,M,F,213,S,-1,1,false,111
350,M,3,4,1,70,M,S,213,S,0,1,false,111
351,M,2,4,1,70,M,S,213,S,0,1,false,111
352,M,2,6,1,70,L,S,213,C,0,1,false,111
353,P,1,1,-1,71,M,F,214,C,-1,0,false,111
354,M,3,3,-1,71,M,F,215,C,-1,-1,false,111
355,M,2,2,1,71,M,F,216,S,1,0,true,112
356,M,2,3,-1,71,M,S,216,C,0,0,false,112
357,M,3,3,-1,71,M,F,217,C,-1,-1,false,112
358,M,2,2,1,71,L,F,218,C,1,0,true,113
359,P,1,1,-1,72,M,F,219,S,-1,-1,false,113
360,M,3,6,1,72,M,S,219,S,0,-1,false,113
361,M,1,2,1,72,M,S,219,C,0,-1,true,114
362,M,2,2,1,72,M,F,220,S,1,0,true,115
363,M,2,3,-1,72,M,S,220,S,0,0,false,115
364,M,3,4,1,72,M,S,220,C,0,0,false,115
365,M,2,2,1,72,M,F,221,C,1,1,true,116
366,M,3,3,-1,72,L,F,222,C,-1,0,false,116
367,P,1,1,-1,73,M,F,223,S,-1,-1,false,116
368,M,2,5,-1,73,M,S,223,S,0,-1,false,116
369,M,2,3,-1,73,M,S,223,C,0,-1,false,116
370,M,3,3,-1,73,M,F,224,C,-1,-2,false,116
371,M,2,2,1,73,M,F,225,S,1,-1,true,117
372,M,3,4,1,73,L,S,225,C,0,-1,false,117
373,P,1,1,-1,74,M,F,226,C,-1,-2,false,117
374,M,3,3,-1,74,M,F,227,S,-1,-3,false,117
375,M,2,4,1,74,M,S,227,S,0,-3,false,117
376,M,2,4,1,74,M,S,227,C,0,-3,false,117
377,M,2,2,1,74,M,F,228,S,1,-2,true,118
378,M,3,5,-1,74,L,S,228,C,0,-2,false,118
379,P,1,1,-1,75,M,F,229,S,-1,-3,false,118
380,M,3,4,1,75,M,S,229,C,0,-3,false,118
381,M,2,2,1,75,M,F,230,C,1,-2,true,119
382,M,2,2,1,75,L,F,231,C,1,-1,true,120
383,P,1,1,-1,76,M,F,232,S,-1,-2,false,120
384,M,2,8,1,76,M,S,232,C,0,-2,false,120
385,M,3,3,-1,76,M,F,233,C,-1,-3,false,120
386,M,2,2,1,76,M,F,234,S,1,-2,true,121
387,M,2,3,-1,76,M,S,234,S,0,-2,false,121
388,M,2,3,-1,76,L,S,234,C,0,-2,false,121
389,P,1,1,-1,77,M,F,235,C,-1,-3,false,121
390,M,4,4,1,77,M,F,236,C,1,-2,false,121
391,M,2,2,1,77,M,F,237,S,1,-1,true,122
392,M,2,5,-1,77,M,S,237,C,0,-1,false,122
393,M,2,2,1,77,M,F,238,C,1,0,true,123
394,M,2,2,1,77,M,F,239,C,1,1,true,124
395,M,2,2,1,77,M,F,240,S,1,2,true,125
396,M,3,5,-1,77,L,S,240,C,0,2,false,125
397,P,1,1,-1,78,M,F,241,C,-1,1,false,125
398,M,2,2,1,78,M,F,242,C,1,2,true,126
399,M,3,3,-1,78,M,F,243,S,-1,1,false,126
400,M,2,6,1,78,L,S,243,C,0,1,false,126
401,P,1,1,-1,79,M,F,244,C,-1,0,false,126
402,M,3,3,-1,79,M,F,245,C,-1,-1,false,126
403,M,2,2,1,79,M,F,246,S,1,0,true,127
404,M,2,3,-1,79,M,S,246,S,0,0,false,127
405,M,2,5,-1,79,M,S,246,C,0,0,false,127
406,M,3,3,-1,79,M,F,247,C,-1,-1,false,127
407,M,2,2,1,79,M,F,248,S,1,0,true,128
408,M,3,5,-1,79,L,S,248,C,0,0,false,128
409,P,1,1,-1,80,M,F,249,C,-1,-1,false,128
410,M,3,3,-1,80,M,F,250,C,-1,-2,false,128
411,M,2,2,1,80,M,F,251,S,1,-1,true,129
412,M,2,3,-1,80,M,S,251,C,0,-1,false,129
413,M,2,2,1,80,M,F,252,S,1,0,true,130
414,M,3,4,1,80,M,S,252,C,0,0,false,130
415,M,2,2,1,80,M,F,253,S,1,1,true,131
416,M,2,6,1,80,M,S,253,C,0,1,false,131
417,M,2,2,1,80,M,F,254,C,1,2,true,132
418,M,3,3,-1,80,L,F,255,C,-1,1,false,132
419,P,1,1,-1,81,M,F,256,S,-1,0,false,132
420,M,4,5,-1,81,L,S,256,C,0,0,false,132
421,P,1,1,-1,82,M,F,257,C,-1,-1,false,132
422,M,2,2,1,82,M,F,258,S,1,0,true,133
423,M,2,3,-1,82,M,S,258,S,0,0,false,133
424,M,2,4,1,82,M,S,258,S,0,0,false,133
425,M,2,3,-1,82,M,S,258,C,0,0,false,133
426,M,3,3,-1,82,M,F,259,C,-1,-1,false,133
427,M,2,2,1,82,M,F,260,S,1,0,true,134
428,M,2,3,-1,82,M,S,260,C,0,0,false,134
429,M,3,3,-1,82,M,F,261,C,-1,-1,false,134
430,M,3,3,-1,82,L,F,262,C,-1,-2,false,134
431,P,1,1,-1,83,M,F,263,S,-1,-3,false,134
432,M,2,7,-1,83,L,S,263,C,0,-3,false,134
433,P,1,1,-1,84,M,F,264,C,-1,-4,false,134
434,M,3,3,-1,84,M,F,265,C,-1,-5,false,134
435,M,3,3,-1,84,M,F,266,S,-1,-6,false,134
436,M,2,3,-1,84,M,S,266,C,0,-6,false,134
437,M,2,2,1,84,M,F,267,C,1,-5,true,135
438,M,3,3,-1,84,L,F,268,C,-1,-6,false,135
439,P,1,1,-1,85,M,F,269,S,-1,-7,false,135
440,M,3,5,-1,85,M,S,269,S,0,-7,false,135
441,M,2,4,1,85,M,S,269,C,0,-7,false,135
442,M,3,3,-1,85,L,F,270,C,-1,-8,false,135
443,P,1,1,-1,86,M,F,271,S,-1,-9,false,135
444,M,3,4,1,86,M,S,271,C,0,-9,false,135
445,M,2,2,1,86,M,F,272,C,1,-8,true,136
446,M,2,2,1,86,M,F,273,C,1,-7,true,137
447,M,2,2,1,86,M,F,274,S,1,-6,true,138
448,M,2,7,-1,86,L,S,274,C,0,-6,false,138
449,P,1,1,-1,87,M,F,275,S,-1,-7,false,138
450,M,3,5,-1,87,M,S,275,C,0,-7,false,138
451,M,2,2,1,87,M,F,276,S,1,-6,true,139
452,M,2,3,-1,87,M,S,276,C,0,-6,false,139
453,M,2,2,1,87,M,F,277,C,1,-5,true,140
454,M,2,2,1,87,M,F,278,C,1,-4,true,141
455,M,3,3,-1,87,M,F,279,S,-1,-5,false,141
456,M,3,5,-1,87,L,S,279,C,0,-5,false,141
457,P,1,1,-1,88,M,F,280,C,-1,-6,false,141
458,M,2,2,1,88,M,F,281,S,1,-5,true,142
459,M,2,4,1,88,M,S,281,S,0,-5,false,142
460,M,3,4,1,88,L,S,281,C,0,-5,false,142
461,P,1,1,-1,89,M,F,282,C,-1,-6,false,142
462,M,4,4,1,89,L,F,283,C,1,-5,false,142
463,P,1,1,-1,90,M,F,284,S,-1,-6,false,142
464,M,2,5,-1,90,M,S,284,C,0,-6,false,142
465,M,3,3,-1,90,M,F,285,C,-1,-7,false,142
466,M,2,2,1,90,L,F,286,C,1,-6,true,143
467,P,1,1,-1,91,M,F,287,S,-1,-7,false,143
468,M,3,5,-1,91,M,S,287,C,0,-7,false,143
469,M,2,2,1,91,M,F,288,C,1,-6,true,144
