n,register_e_symbol,omega_lower_case,omega_upper_case,liouville_function,prime_counter,tape_cp_n_start,register_psf_out,prime_square_free_counter,tape_psf_n_start,mobius_function_mu,mertens_function,semiprime,semiprime_counter
5325,M,3,4,1,705,M,S,3237,C,0,-1,false,1449
5326,M,2,2,1,705,M,F,3238,C,1,0,true,1450
5327,M,2,2,1,705,M,F,3239,S,1,1,true,1451
5328,M,3,7,-1,705,M,S,3239,S,0,1,false,1451
5329,M,1,2,1,705,M,S,3239,C,0,1,true,1452
5330,M,4,4,1,705,M,F,3240,C,1,2,false,1452
5331,M,2,2,1,705,M,F,3241,S,1,3,true,1453
5332,M,3,4,1,705,L,S,3241,C,0,3,false,1453
5333,P,1,1,-1,706,M,F,3242,C,-1,2,false,1453
5334,M,4,4,1,706,M,F,3243,C,1,3,false,1453
5335,M,3,3,-1,706,M,F,3244,S,-1,2,false,1453
5336,M,3,5,-1,706,M,S,3244,S,0,2,false,1453
5337,M,2,3,-1,706,M,S,3244,C,0,2,false,1453
5338,M,3,3,-1,706,M,F,3245,C,-1,1,false,1453
5339,M,2,2,1,706,M,F,3246,S,1,2,true,1454
5340,M,4,5,-1,706,M,S,3246,S,0,2,false,1454
5341,M,2,3,-1,706,M,S,3246,C,0,2,false,1454
5342,M,2,2,1,706,M,F,3247,C,1,3,true,1455
5343,M,3,3,-1,706,M,F,3248,S,-1,2,false,1455
5344,M,2,6,1,706,M,S,3248,C,0,2,false,1455
5345,M,2,2,1,706,M,F,3249,S,1,3,true,1456
5346,M,3,7,-1,706,L,S,3249,C,0,3,false,1456
5347,P,1,1,-1,707,M,F,3250,S,-1,2,false,1456
5348,M,3,4,1,707,M,S,3250,C,0,2,false,1456
5349,M,2,2,1,707,M,F,3251,S,1,3,true,1457
5350,M,3,4,1,707,L,S,3251,C,0,3,false,1457
5351,P,1,1,-1,708,M,F,3252,S,-1,2,false,1457
5352,M,3,5,-1,708,M,S,3252,C,0,2,false,1457
5353,M,2,2,1,708,M,F,3253,C,1,3,true,1458
5354,M,2,2,1,708,M,F,3254,S,1,4,true,1459
5355,M,4,5,-1,708,M,S,3254,S,0,4,false,1459
5356,M,3,4,1,708,M,S,3254,C,0,4,false,1459
5357,M,2,2,1,708,M,F,3255,C,1,5,true,1460
5358,M,4,4,1,708,M,F,3256,C,1,6,false,1460
5359,M,2,2,1,708,M,F,3257,S,1,7,true,1461
5360,M,3,6,1,708,M,S,3257,C,0,7,false,1461
5361,M,2,2,1,708,M,F,3258,C,1,8,true,1462
5362,M,3,3,-1,708,M,F,3259,C,-1,7,false,1462
5363,M,2,2,1,708,M,F,3260,S,1,8,true,1463
5364,M,3,5,-1,708,M,S,3260,C,0,8,false,1463
5365,M,3,3,-1,708,M,F,3261,C,-1,7,false,1463
5366,M,2,2,1,708,M,F,3262,C,1,8,true,1464
5367,M,2,2,1,708,M,F,3263,S,1,9,true,1465
5368,M,3,5,-1,708,M,S,3263,C,0,9,false,1465
5369,M,3,3,-1,708,M,F,3264,C,-1,8,false,1465
5370,M,4,4,1,708,M,F,3265,C,1,9,false,1465
5371,M,2,2,1,708,M,F,3266,S,1,10,true,1466
5372,M,3,4,1,708,M,S,3266,S,0,10,false,1466
5373,M,2,4,1,708,M,S,3266,C,0,10,false,1466
5374,M,2,2,1,708,M,F,3267,S,1,11,true,1467
5375,M,2,4,1,708,M,S,3267,S,0,11,false,1467
5376,M,3,10,1,708,M,S,3267,C,0,11,false,1467
5377,M,2,2,1,708,M,F,3268,C,1,12,true,1468
5378,M,2,2,1,708,M,F,3269,C,1,13,true,1469
5379,M,3,3,-1,708,M,F,3270,S,-1,12,false,1469
5380,M,3,4,1,708,L,S,3270,C,0,12,false,1469
5381,P,1,1,-1,709,M,F,3271,S,-1,11,false,1469
5382,M,4,5,-1,709,M,S,3271,C,0,11,false,1469
5383,M,2,2,1,709,M,F,3272,S,1,12,true,1470
5384,M,2,4,1,709,M,S,3272,C,0,12,false,1470
5385,M,3,3,-1,709,M,F,3273,C,-1,11,false,1470
5386,M,2,2,1,709,L,F,3274,C,1,12,true,1471
5387,P,1,1,-1,710,M,F,3275,S,-1,11,false,1471
5388,M,3,4,1,710,M,S,3275,C,0,11,false,1471
5389,M,2,2,1,710,M,F,3276,S,1,12,true,1472
5390,M,4,5,-1,710,M,S,3276,S,0,12,false,1472
5391,M,2,3,-1,710,M,S,3276,S,0,12,false,1472
5392,M,2,5,-1,710,L,S,3276,C,0,12,false,1472
5393,P,1,1,-1,711,M,F,3277,C,-1,11,false,1472
5394,M,4,4,1,711,M,F,3278,C,1,12,false,1472
5395,M,3,3,-1,711,M,F,3279,S,-1,11,false,1472
5396,M,3,4,1,711,M,S,3279,C,0,11,false,1472
5397,M,3,3,-1,711,M,F,3280,C,-1,10,false,1472
5398,M,2,2,1,711,L,F,3281,C,1,11,true,1473
5399,P,1,1,-1,712,M,F,3282,S,-1,10,false,1473
5400,M,3,8,1,712,M,S,3282,C,0,10,false,1473
5401,M,2,2,1,712,M,F,3283,C,1,11,true,1474
5402,M,3,3,-1,712,M,F,3284,C,-1,10,false,1474
5403,M,2,2,1,712,M,F,3285,S,1,11,true,1475
5404,M,3,4,1,712,M,S,3285,C,0,11,false,1475
5405,M,3,3,-1,712,M,F,3286,C,-1,10,false,1475
5406,M,4,4,1,712,L,F,3287,C,1,11,false,1475
5407,P,1,1,-1,713,M,F,3288,S,-1,10,false,1475
5408,M,2,7,-1,713,M,S,3288,S,0,10,false,1475
5409,M,2,3,-1,713,M,S,3288,C,0,10,false,1475
5410,M,3,3,-1,713,M,F,3289,C,-1,9,false,1475
5411,M,2,2,1,713,M,F,3290,S,1,10,true,1476
5412,M,4,5,-1,713,L,S,3290,C,0,10,false,1476
5413,P,1,1,-1,714,M,F,3291,C,-1,9,false,1476
5414,M,2,2,1,714,M,F,3292,S,1,10,true,1477
5415,M,3,4,1,714,M,S,3292,S,0,10,false,1477
